,name,description
272,CLIJ2 Minimum X Projection,"Determines the minimum intensity projection of an image along X.<br/><br/>Parameters: Image source, ByRef Image destination_min<br/>Available for: 3D -> 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
273,CLIJ2 Minimum Y Projection,"Determines the minimum intensity projection of an image along Y.<br/><br/>Parameters: Image source, ByRef Image destination_min<br/>Available for: 3D -> 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
274,CLIJ2 Minimum Z Projection,"Determines the minimum intensity projection of an image along Z.<br/><br/>Parameters: Image source, ByRef Image destination_min<br/>Available for: 3D -> 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
275,CLIJ2 Minimum Z Projection Bounded,"Determines the minimum intensity projection of an image along Z within a given z range.<br/><br/>Parameters: Image source, ByRef Image destination_min, Number min_z, Number max_z<br/>Available for: 3D -> 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
276,CLIJ2 Minimum Z Projection Thresholded Bounded,"Determines the minimum intensity projection of all pixels in an image above a given threshold along Z within a given z range.<br/><br/>Parameters: Image source, ByRef Image destination_min, Number min_z, Number max_z<br/>Available for: 3D -> 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
277,CLIJ2 Mode Of N Nearest Neighbors Map,"Takes a label image and a parametric intensity image and will replace each labels value in the parametric image<br/>by the mode value of neighboring labels. The distance number of nearest neighbors can be configured.<br/>Note: Values of all pixels in a label each must be identical.<br/><br/>Parameters<br/>----------<br/>parametric_map : Image<br/>label_map : Image<br/>parametric_map_destination : Image<br/>n : int<br/>    number of nearest neighbors<br/><br/>Parameters: Image parametric_map, Image label_map, ByRef Image parametric_map_destination, Number n<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
278,CLIJ2 Mode Of Proximal Neighbors Map,"Takes a label image and a parametric intensity image and will replace each labels value in the parametric image by the most popular value of neighboring labels.<br/><br/> The distance range of the centroids of the neighborhood can be configured.<br/>Note: Values of all pixels in a label each must be identical.<br/><br/>Parameters<br/>----------<br/>parametric_map : Image<br/>label_map : Image<br/>parametric_map_destination : Image<br/>min_distance : float, optional<br/>    default : 0<br/>max_distance : float, optional<br/>    default: maximum float value<br/><br/>Parameters: Image parametric_map, Image label_map, ByRef Image parametric_map_destination, Number min_distance, Number max_distance<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
279,CLIJ2 Mode Of Touching Neighbors,"Takes a touch matrix and a vector of values to determine the most popular integer value among touching neighbors for every object.<br/>TODO: This only works for values between 0 and 255 for now.<br/><br/>Parameters: Image values, Image touch_matrix, ByRef Image mode_values_destination<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
280,CLIJ2 Multiply Image And Coordinate,"Multiplies all pixel intensities with the x, y or z coordinate, depending on specified dimension.<br/><br/>Parameters: Image source, ByRef Image destination, Number dimension<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
281,CLIJ2 Multiply Image And Scalar,"Multiplies all pixels value x in a given image X with a constant scalar s.<br/><br/><pre>f(x, s) = x * s</pre><br/><br/>Parameters<br/>----------<br/>source : Image<br/>    The input image to be multiplied with a constant.<br/>destination : Image<br/>    The output image where results are written into.<br/>scalar : float<br/>    The number with which every pixel will be multiplied with.<br/><br/><br/>Parameters: Image source, ByRef Image destination, Number scalar<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
282,CLIJ2 Multiply Images,"Multiplies all pairs of pixel values x and y from two images X and Y.<br/><br/><pre>f(x, y) = x * y</pre><br/><br/>Parameters<br/>----------<br/>factor1 : Image<br/>    The first input image to be multiplied.<br/>factor2 : Image<br/>    The second image to be multiplied.<br/>destination : Image<br/>    The output image where results are written into.<br/><br/><br/>Parameters: Image factor1, Image factor2, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
283,CLIJ2 Multiply Image Stack With Scalars,"Multiplies all pixels value x in a given image X with a constant scalar s from a list of scalars.<br/><br/><pre>f(x, s) = x * s</pre><br/><br/>Parameters: Image source, ByRef Image destination, Array scalars<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
284,CLIJ2 Multiply Matrix,"Multiplies two matrices with each other.<br/><br/>Parameters: Image matrix1, Image matrix2, ByRef Image matrix_destination<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
285,CLIJ2 Multiply Stack With Plane,"Multiplies all pairs of pixel values x and y from an image stack X and a 2D image Y. <br/><br/>x and y are at <br/>the same spatial position within a plane.<br/><br/><pre>f(x, y) = x * y</pre><br/><br/>Parameters: Image sourceStack, Image sourcePlane, ByRef Image destination<br/>Available for: 3D (first parameter), 2D (second parameter), 3D (result)<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
286,CLIJ2 N Closest Distances,"Determine the n point indices with shortest distance for all points in a distance matrix. <br/><br/>This corresponds to the n row indices with minimum values for each column of the distance matrix.Returns the n shortest distances in one image and the point indices in another image.<br/><br/>Parameters: Image distance_matrix, ByRef Image distances_destination, ByRef Image indexlist_destination, Number nClosestPointsTofind<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
287,CLIJ2 N Closest Points,"Determine the n point indices with shortest distance for all points in a distance matrix. <br/><br/>This corresponds to the n row indices with minimum values for each column of the distance matrix.<br/><br/>Parameters: Image distance_matrix, ByRef Image indexlist_destination, Number n<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
288,CLIJ2 Neighbors Of Neighbors,"Determines neighbors of neigbors from touch matrix and saves the result as a new touch matrix.<br/><br/>Parameters: Image touch_matrix, ByRef Image neighbor_matrix_destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
289,CLIJ2 Nonzero Maximum Box,"Apply a maximum filter (box shape) to the input image. <br/><br/>The radius is fixed to 1 and pixels with value 0 are ignored.<br/>Note: Pixels with 0 value in the input image will not be overwritten in the output image.<br/>Thus, the result image should be initialized by copying the original image in advance.<br/><br/>Parameters: Image input, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
290,CLIJ2 Nonzero Maximum Diamond,"Apply a maximum filter (diamond shape) to the input image. <br/><br/>The radius is fixed to 1 and pixels with value 0 are ignored.<br/>Note: Pixels with 0 value in the input image will not be overwritten in the output image.<br/>Thus, the result image should be initialized by copying the original image in advance.<br/><br/>Parameters: Image input, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
291,CLIJ2 Nonzero Minimum Box,"Apply a minimum filter (box shape) to the input image. <br/><br/>The radius is fixed to 1 and pixels with value 0 are ignored.<br/>Note: Pixels with 0 value in the input image will not be overwritten in the output image.<br/>Thus, the result image should be initialized by copying the original image in advance.<br/><br/>Parameters: Image input, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
292,CLIJ2 Nonzero Minimum Diamond,"Apply a minimum filter (diamond shape) to the input image. <br/><br/>The radius is fixed to 1 and pixels with value 0 are ignored.Note: Pixels with 0 value in the input image will not be overwritten in the output image.<br/>Thus, the result image should be initialized by copying the original image in advance.<br/><br/>Parameters: Image input, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
293,CLIJ2 Not Equal,"Determines if two images A and B equal pixel wise.<br/><br/>f(a, b) = 1 if a != b; 0 otherwise.<br/><br/>Parameters<br/>----------<br/>source1 : Image<br/>    The first image to be compared with.<br/>source2 : Image<br/>    The second image to be compared with the first.<br/>destination : Image<br/>    The resulting binary image where pixels will be 1 only if source1 and source2 are not equal in the given pixel.<br/><br/><br/>Parameters: Image source1, Image source2, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
294,CLIJ2 Not Equal Constant,"Determines if two images A and B equal pixel wise.<br/><br/>f(a, b) = 1 if a != b; 0 otherwise.Parameters<br/>----------<br/>source : Image<br/>    The image where every pixel is compared to the constant.<br/>destination : Image<br/>    The resulting binary image where pixels will be 1 only if source1 and source2 equal in the given pixel.<br/>constant : float<br/>    The constant where every pixel is compared to.<br/><br/><br/>Parameters: Image source, ByRef Image destination, Number constant<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
295,CLIJ2 Onlyzero Overwrite Maximum Box,"Apply a local maximum filter to an image which only overwrites pixels with value 0.<br/><br/>Parameters: Image input, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
296,CLIJ2 Onlyzero Overwrite Maximum Diamond,"Apply a local maximum filter to an image which only overwrites pixels with value 0.<br/><br/>Parameters: Image input, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
297,CLIJ2 Opening Box,"Apply a binary opening to the input image by calling n erosions and n dilations subsequenntly.<br/><br/>Parameters: Image input, ByRef Image destination, Number number_of_erotions_and_dilations<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
298,CLIJ2 Opening Diamond,"Apply a binary opening to the input image by calling n erosions and n dilations subsequenntly.<br/><br/>Parameters: Image input, ByRef Image destination, Number number_of_erotions_and_dilations<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
299,CLIJ2 Out Of Intensity Range,"Sets all pixels to 1 if their intensity lies out of a given range, and 0 otherwise.<br/><br/>Given minimum and maximum are considered part of the range.<br/><br/>Parameters: Image source, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
300,CLIJ2 Paste 2D,"Pastes an image into another image at a given position.<br/><br/>Parameters: Image source, ByRef Image destination, Number destination_x, Number destination_y<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
301,CLIJ2 Paste 3D,"Pastes an image into another image at a given position.<br/><br/>Parameters: Image source, ByRef Image destination, Number destination_x, Number destination_y, Number destination_z<br/>Available for: 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
302,CLIJ2 Pixel Count Map,"Takes a label map, determines the number of pixels per label and replaces every label with the that number.<br/><br/>This results in a parametric image expressing area or volume.<br/><br/>Parameters: Image input, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
303,CLIJ2 Point Index List To Mesh,"Meshes all points in a given point list which are indiced in a corresponding index list.<br/><br/>Parameters: Image pointlist, Image indexlist, ByRef Image mesh_destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
304,CLIJ2 Point Index List To Touch Matrix,"Takes a list of point indices to generate a touch matrix (a.k.a. adjacency graph matrix) out of it. <br/><br/>The list hasa dimensionality of m*n for the points 1... m (0 a.k.a. background is not in this list). In the n rows, there are<br/>indices to points which should be connected.<br/><br/>Parameters<br/>----------<br/>indexlist : Image<br/>matrix_destination : Image<br/><br/>Parameters: Image indexlist, ByRef Image matrix_destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
305,CLIJ2 Pointlist To Labelled Spots,"Takes a pointlist with dimensions n times d with n point coordinates in d dimensions and labels corresponding pixels.<br/><br/>Parameters: Image pointlist, ByRef Image spots_destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
306,CLIJ2 Power,"Computes all pixels value x to the power of a given exponent a.<br/><br/><pre>f(x, a) = x ^ a</pre><br/><br/>Parameters: Image source, ByRef Image destination, Number exponent<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
307,CLIJ2 Power Images,"Calculates x to the power of y pixel wise of two images X and Y.<br/><br/>Parameters: Image input, Image exponent, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
308,CLIJ2 Print,"Visualises an image on standard out (console).<br/><br/>Parameters: Image input<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
309,CLIJ2 Proximal Neighbor Count Map,"Takes a label map, determines which labels are within a given distance range and replaces every label with the number of neighboring labels.<br/><br/><br/><br/>Parameters: Image input, ByRef Image destination, Number min_distance, Number max_distance<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
310,CLIJ2 Pull 2D Point List As Roi,"<br/><br/>Parameters: Image input, ByRef Array destination<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
311,CLIJ2 Pull As Roi,Pulls a binary image from the GPU memory and puts it on the currently active ImageJ window as region of interest.<br/><br/>Parameters: Image binary_input<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>
312,CLIJ2 Pull Labels To Roi List,Pulls all labels in a label map as ROIs to a list. <br/><br/>From ImageJ macro this list is written to the log <br/>window. From ImageJ macro conside using pullLabelsToROIManager.<br/><br/>Parameters: Image labelmap_input<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>
313,CLIJ2 Pull Labels To Roi Manager,Pulls all labels in a label map as ROIs to the ROI manager.<br/><br/>Parameters: Image labelmap_input<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>
314,CLIJ2 Pull String,"Writes an image into a string.<br/><br/>Parameters: Image input, ByRef String output<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
315,CLIJ2 Pull To Current Slice,"Pulls a two dimensional image from the GPU memory and enters it in the current/given image stack at the selected slice.<br/><br/>If image type and/or dimensions don't fit a paste operation will be performed in the background, this may limit performance.<br/><br/>Parameters: Image input_slice, String target_image_stack<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
316,CLIJ2 Pull To Current Slice Selection,"Pulls a two dimensional image from the GPU memory and enters it in the current selection.<br/><br/>Parameters: Image input_slice, String target_image_stack<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
317,CLIJ2 Pull To Results Table,Converts an image into a table.<br/><br/>Parameters: Image source<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>
318,CLIJ2 Pull To Results Table Column,"Copies the content of a vector image to a column in the results table.<br/>You can configure if new rows should be appended or if existing values should be overwritten.<br/><br/>Parameters: Image source, String column_name, Boolean append_new_rows<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
319,CLIJ2 Pull To Roi Manager,Pulls a binary image from the GPU memory and puts it in the ROI Manager.<br/><br/>Parameters: Image binary_input<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>
320,CLIJ2 Push Array,"Converts an array to a 3D image stack.<br/><br/>Parameters: ByRef Image destination, Array input, Number width, Number height, Number depth<br/>Available for: 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
321,CLIJ2 Push Array 2D,"Converts an array to a 2D image.<br/><br/>Parameters: ByRef Image destination, Array input, Number width, Number height<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
322,CLIJ2 Push Results Table,"Converts a table to an image. <br/><br/>Rows stay rows, columns stay columns.<br/><br/>Parameters: ByRef Image destination<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
323,CLIJ2 Push Results Table Column,"Converts a table column to an image. <br/><br/>The values are stored in x dimension.<br/><br/>Parameters: ByRef Image destination, String column_name<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
324,CLIJ2 Push String,"Converts an string to an image. <br/><br/>The formatting works with double line breaks for slice switches, single line breaks for y swithces and <br/>spaces for x. For example this string is converted to an image with width=4, height=3 and depth=2:<br/><br/>1 2 3 4<br/>5 6 7 8<br/>9 0 1 2<br/><br/>3 4 5 6<br/>7 8 9 0<br/>1 2 3 4<br/><br/><br/>Parameters: ByRef Image destination, String input, Number width, Number height, Number depth<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
325,CLIJ2 Read Values From Map,"Takes a label image and an parametric image and reads parametric values from the labels positions.<br/><br/>The read intensity valus are stored in a new vector.<br/><br/>Note: This will only work if all labels have number of voxels == 1 or if all pixels in each label have the same value.<br/><br/>Parameters<br/>----------<br/>labels<br/>map_image<br/>values_destination<br/><br/>Parameters: Image labels, Image map_image, ByRef Image values_destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
326,CLIJ2 Read Values From Positions,"Takes a pointlist and a parametric image and reads parametric values from the positions.<br/><br/>The read intensity values are stored in a new vector.<br/><br/>Parameters<br/>----------<br/>pointlist<br/>map_image<br/>values_destination<br/><br/>Parameters: Image pointlist, Image map_image, ByRef Image values_destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
327,CLIJ2 Reduce Labels To Centroids,"Takes a label map and reduces all labels to their center spots. Label IDs stay and background will be zero.<br/><br/>Parameters: Image input_labels, ByRef Image destination_labels<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
328,CLIJ2 Reduce Labels To Label Edges,"Takes a label map and reduces all labels to their edges. Label IDs stay the same and background will be zero.<br/><br/>Parameters: Image input_labels, ByRef Image destination_labels<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
329,CLIJ2 Reduce Stack,"Reduces the number of slices in a stack by a given factor.<br/>With the offset you have control which slices stay: <br/>* With factor 3 and offset 0, slices 0, 3, 6,... are kept. * With factor 4 and offset 1, slices 1, 5, 9,... are kept.<br/><br/>Parameters: Image input, ByRef Image destination, Number reduction_factor, Number offset<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
330,CLIJ2 Replace Intensities,"Replaces integer intensities specified in a vector image. <br/><br/>The vector image must be 3D with size (m, 1, 1) where m corresponds to the maximum intensity in the original image. Assuming the vector image contains values (0, 1, 0, 2) means: <br/> * All pixels with value 0 (first entry in the vector image) get value 0<br/> * All pixels with value 1 get value 1<br/> * All pixels with value 2 get value 0<br/> * All pixels with value 3 get value 2<br/><br/><br/>Parameters: Image input, Image new_values_vector, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
331,CLIJ2 Replace Intensity,"Replaces a specific intensity in an image with a given new value.<br/><br/>Parameters: Image input, ByRef Image destination, Number value_to_replace, Number value_replacement<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
332,CLIJ2 Replace Pixels If Zero,"Replaces pixel values x with y in case x is zero.<br/><br/>This functionality is comparable to ImageJs image calculator operator 'transparent zero'.<br/><br/>Parameters: Image input1, Image input2, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
333,CLIJ2 Resample,"Resamples an image with given size factors using an affine transform.<br/><br/>Parameters: Image source, ByRef Image destination, Number factor_x, Number factor_y, Number factor_z, Boolean linear_interpolation<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
334,CLIJ2 Reslice Bottom,"Flippes Y and Z axis of an image stack. This operation is similar to ImageJs 'Reslice [/]' method but<br/>offers less flexibility such as interpolation.<br/><br/>Parameters: Image source, ByRef Image destination<br/>Available for: 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
335,CLIJ2 Reslice Left,"Flippes X, Y and Z axis of an image stack. This operation is similar to ImageJs 'Reslice [/]' method <br/> but offers less flexibility such as interpolation.<br/><br/>Parameters: Image source, ByRef Image destination<br/>Available for: 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
336,CLIJ2 Reslice Radial,"Computes a radial projection of an image stack. <br/><br/>Starting point for the line is the given point in any <br/>X/Y-plane of a given input image stack. Furthermore, radius of the resulting projection must be given and scaling factors in X and Y in case pixels are not isotropic.This operation is similar to ImageJs 'Radial Reslice' method but offers less flexibility.<br/><br/>Parameters: Image source, ByRef Image destination, Number numberOfAngles, Number angleStepSize, Number startAngleDegrees, Number centerX, Number centerY, Number scaleFactorX, Number scaleFactorY<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
337,CLIJ2 Reslice Radial Top,"Computes a radial projection of an image stack and reslices it from top. <br/><br/>Starting point for the line is the given point in any <br/>X/Y-plane of a given input image stack. Furthermore, radius of the resulting projection must be given and scaling factors in X and Y in case pixels are not isotropic.This operation is similar to ImageJs 'Radial Reslice' method combined with 'Reslice from top' but offers less flexibility.<br/><br/>Parameters: Image source, ByRef Image destination, Number numberOfAngles, Number angleStepSize, Number startAngleDegrees, Number centerX, Number centerY, Number scaleFactorX, Number scaleFactorY<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
338,CLIJ2 Reslice Right,"Flippes X, Y and Z axis of an image stack. This operation is similar to ImageJs 'Reslice [/]' method <br/> but offers less flexibility such as interpolation.<br/><br/>Parameters: Image source, ByRef Image destination<br/>Available for: 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
